Profundidade,qT,fS,u2,gw ,gnat ,u0,sv0,s'v0,FILE,CPTU,class_Rob
0.3,0.804,0,3,9.81,12.28,0,3.684,3.684,1,1,1
0.314,0.852776,0,3.182,9.81,12.28,0.13734,3.85592,3.71858,1,1,1
0.336,0.901284,0,3.363,9.81,12.28,0.35316,4.12608,3.77292,1,1,1
0.358,0,0,3.454,9.81,12.28,0.56898,4.39624,3.82726,1,1,1
0.38,0,0,3.726,9.81,12.28,0.7848,4.6664,3.8816,1,1,1
0.391,0,0,3.908,9.81,12.28,0.89271,4.80148,3.90877,1,1,1
0.412,1.12024,0,4.18,9.81,12.28,1.09872,5.05936,3.96064,1,1,1
0.434,1.169016,0,4.362,9.81,12.28,1.31454,5.32952,4.01498,1,1,1
0.456,1.217792,0,4.544,9.81,12.28,1.53036,5.59968,4.06932,1,1,1
0.479,1.290688,0.037,4.816,9.81,12.28,1.75599,5.88212,4.12613,1,1,1
0.5,1.339464,0,4.998,9.81,12.28,1.962,6.14,4.178,1,1,1
0.522,1.41236,0,5.27,9.81,12.28,2.17782,6.41016,4.23234,1,1,1
0.544,1.485256,0,5.542,9.81,12.28,2.39364,6.68032,4.28668,1,1,1
0.555,4.8342441591335,0,5.906,9.81,12.28,2.50155,6.8154,4.31385,1,1,1
0.577,8.280248318267,0.037,6.632,9.81,12.28,2.71737,7.08556,4.36819,1,1,5
0.599,11.921088477401,0.074,8.085,9.81,12.28,2.93319,7.35572,4.42253,1,1,3
0.621,18.326676795668,0.186,7.722,9.81,12.28,3.14901,7.62588,4.47687,1,1,3
0.642,23.062296954801,0.409,13.26,9.81,12.28,3.35502,7.88376,4.52874,1,1,3
0.664,26.289613113935,0.706,13.17,9.81,12.28,3.57084,8.15392,4.58308,1,1,3
0.686,29.954573273068,1.078,14.713,9.81,12.28,3.78666,8.42408,4.63742,1,1,3
0.708,29.467885273068,1.487,12.897,9.81,12.28,4.00248,8.69424,4.69176,1,1,3
0.719,31.292965273068,1.896,19.707,9.81,12.28,4.11039,8.82932,4.71893,1,1,3
0.741,33.863145432202,2.268,17.165,9.81,12.28,4.32621,9.09948,4.77327,1,1,3
0.763,32.062453432202,2.491,10.446,9.81,12.28,4.54203,9.36964,4.82761,1,1,3
0.785,34.763357432202,2.752,20.524,9.81,12.28,4.75785,9.6398,4.88195,1,1,3
0.807,35.834285432202,2.863,24.52,9.81,12.28,4.97367,9.90996,4.93629,1,1,3
0.829,35.493389432202,2.9,23.248,9.81,12.28,5.18949,10.18012,4.99063,1,1,3
0.851,35.396105432202,2.826,22.885,9.81,12.28,5.40531,10.45028,5.04497,1,1,3
0.872,39.255901591335,2.826,25.155,9.81,12.28,5.61132,10.70816,5.09684,1,1,3
0.883,39.572409591335,2.752,26.336,9.81,12.28,5.71923,10.84324,5.12401,1,1,3
0.905,36.977841432202,2.752,28.787,9.81,12.28,5.93505,11.1134,5.17835,1,1,3
0.928,40.302441591335,2.64,29.06,9.81,12.28,6.16068,11.39584,5.23516,1,1,3
0.95,44.794717750469,2.454,33.69,9.81,12.28,6.3765,11.666,5.2895,1,1,3
0.972,51.930338068736,2.268,36.051,9.81,12.28,6.59232,11.93616,5.34384,1,1,3
0.993,55.352222227869,2.119,36.687,9.81,12.28,6.79833,12.19404,5.39571,1,1,3
1.015,61.490078546136,2.045,35.325,9.81,12.28,7.01415,12.4642,5.45005,1,1,3
1.038,63.88981070527,2.008,32.147,9.81,12.28,7.23978,12.74664,5.50686,1,1,3
1.049,65.948914864403,1.822,27.698,9.81,12.28,7.34769,12.88172,5.53403,1,1,4
1.071,62.04034270527,1.859,25.246,9.81,12.28,7.56351,13.15188,5.58837,1,1,4
1.093,65.340554864403,2.045,25.428,9.81,12.28,7.77933,13.42204,5.64271,1,1,4
1.114,61.82138670527,2.268,24.429,9.81,12.28,7.98534,13.67992,5.69458,1,1,4
1.136,64.902374864403,2.454,23.793,9.81,12.28,8.20116,13.95008,5.74892,1,1,4
1.159,65.510734864403,2.603,26.063,9.81,12.28,8.42679,14.23252,5.80573,1,1,4
1.181,65.608018864403,2.714,26.426,9.81,12.28,8.64261,14.50268,5.86007,1,1,4
1.203,63.03810670527,2.789,28.969,9.81,12.28,8.85843,14.77284,5.91441,1,1,4
1.224,66.094706864403,2.752,28.242,9.81,12.28,9.06444,15.03072,5.96628,1,1,4
1.235,65.997422864403,2.677,27.879,9.81,12.28,9.17235,15.1658,5.99345,1,1,4
1.257,66.216378864403,2.64,28.696,9.81,12.28,9.38817,15.43596,6.04779,1,1,4
1.28,63.20828670527,1.971,29.604,9.81,12.28,9.6138,15.7184,6.1046,1,1,3
1.286,50.981350068736,1.785,32.51,9.81,12.28,9.67266,15.79208,6.11942,1,1,3
1.286,48.192213909602,1.822,34.235,9.81,12.28,9.67266,15.79208,6.11942,1,1,3
1.286,45.038061750469,1.859,34.598,9.81,12.28,9.67266,15.79208,6.11942,1,1,3
1.286,45.184121750469,1.822,35.143,9.81,12.28,9.67266,15.79208,6.11942,1,1,3
1.286,45.257285750469,1.934,35.416,9.81,12.28,9.67266,15.79208,6.11942,1,1,3
1.286,45.257285750469,1.896,35.416,9.81,12.28,9.67266,15.79208,6.11942,1,1,3
1.289,71.190693710539,3.424,22.976,9.81,12.28,9.70209,15.82892,6.12683,1,1,4
1.299,71.239469710539,3.349,23.158,9.81,12.28,9.80019,15.95172,6.15153,1,1,4
1.322,72.115293710539,3.089,26.426,9.81,12.28,10.02582,16.23416,6.20834,1,1,4
1.344,72.626369710539,2.866,28.333,9.81,12.28,10.24164,16.50432,6.26268,1,1,4
1.365,72.577861710539,2.754,28.152,9.81,12.28,10.44765,16.7622,6.31455,1,1,4
1.387,72.164069710539,2.568,26.608,9.81,12.28,10.66347,17.03236,6.36889,1,1,4
1.409,72.821205710539,2.494,29.06,9.81,12.28,10.87929,17.30252,6.42323,1,1,4
1.431,72.966997710539,2.494,29.604,9.81,12.28,11.09511,17.57268,6.47757,1,1,4
1.453,72.699533710539,2.42,28.606,9.81,12.28,11.31093,17.84284,6.53191,1,1,4
1.464,72.748041710539,2.382,28.787,9.81,12.28,11.41884,17.97792,6.55908,1,1,4
1.486,73.210341710539,2.382,30.512,9.81,12.28,11.63466,18.24808,6.61342,1,1,4
1.507,76.291936525663,2.382,29.877,9.81,12.28,11.84067,18.50596,6.66529,1,1,4
1.53,78.886575340786,2.382,27.425,9.81,12.28,12.0663,18.7884,6.7221,1,1,4
1.552,82.795486155909,2.42,29.877,9.81,12.28,12.28212,19.05856,6.77644,1,1,4
1.574,83.452354155909,2.568,32.328,9.81,12.28,12.49794,19.32872,6.83078,1,1,4
1.596,84.109490155909,2.606,34.78,9.81,12.28,12.71376,19.59888,6.88512,1,1,4
1.617,87.142308971033,2.717,33.963,9.81,12.28,12.91977,19.85676,6.93699,1,1,4
1.628,87.385652971033,2.829,34.871,9.81,12.28,13.02768,19.99184,6.96416,1,1,4
1.65,87.361264971033,2.903,34.78,9.81,12.28,13.2435,20.262,7.0185,1,1,4
1.673,91.294295786156,2.94,37.322,9.81,12.28,13.46913,20.54444,7.07531,1,1,4
1.695,87.069144971033,2.866,33.69,9.81,12.28,13.68495,20.8146,7.12965,1,1,4
1.717,88.066908971033,2.866,37.413,9.81,12.28,13.90077,21.08476,7.18399,1,1,4
1.738,88.261744971033,2.829,38.14,9.81,12.28,14.10678,21.34264,7.23586,1,1,4
1.76,88.480700971033,2.754,38.957,9.81,12.28,14.3226,21.6128,7.2902,1,1,4
1.783,88.772552971033,2.754,40.046,9.81,12.28,14.54823,21.89524,7.34701,1,1,4
1.805,91.829759786156,2.754,39.32,9.81,12.28,14.76405,22.1654,7.40135,1,1,4
1.816,91.464743786156,2.829,37.958,9.81,12.28,14.87196,22.30048,7.42852,1,1,4
1.831,72.684126895416,1.936,40.682,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
1.831,70.503012080292,2.011,44.677,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
1.831,67.446073265169,2.011,45.404,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
1.831,67.567745265169,2.011,45.858,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
1.831,74.168578895416,1.936,46.221,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
1.831,77.468861710539,1.936,46.402,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
1.831,70.941192080292,2.048,46.312,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
1.831,61.161479634922,1.973,46.221,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
1.831,67.640641265169,1.936,46.13,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
1.831,70.892416080292,1.973,46.13,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
1.831,64.315970450045,2.011,45.858,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
1.831,64.267194450045,2.011,45.676,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
1.831,60.991031634922,1.973,45.585,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
1.831,70.649072080292,2.42,45.222,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
1.831,70.551788080292,2.568,44.859,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
1.831,67.226849265169,2.382,44.586,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
1.831,70.454504080292,2.159,44.496,9.81,12.28,15.01911,22.48468,7.46557,1,1,3
